decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,time_ratio,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
exp,effectiveness,z_A0,7339.698492462311,sensitivity_z,616.4418151638183,35.823162210184435,2.3140430483732097,1.0145133040017744,1.0145133040017744,5.0420177983193275,,,0.4617957177974265,0.4617957177974265,7.916007110497443,2.560623117334315
exp,effectiveness,z_A0,7486.492462311558,sensitivity_z,616.705231684647,35.863006963080146,2.2926160423535227,1.0140479739762172,1.0140479739762172,5.0420177983193275,,,0.46210182171406866,0.46210182171406866,7.925221358518719,2.5903171853861235
exp,effectiveness,z_A0,7633.286432160804,sensitivity_z,616.9668725153197,35.90259446559591,2.270601034986276,1.0135857568059756,1.0135857568059756,5.0420177983193275,,,0.46240792563071087,0.46240792563071087,7.9343845852246755,2.6205992547854926
exp,effectiveness,z_A0,7780.0804020100495,sensitivity_z,617.2267612485257,35.941927843166106,2.2479980262714685,1.0131266111203547,1.0131266111203547,5.0420177983193275,,,0.4627140295473529,0.4627140295473529,7.943497410493004,2.651469325532422
exp,effectiveness,z_A0,7926.874371859296,sensitivity_z,617.4849210104012,35.981010162859995,2.2248070162090996,1.0126704963679594,1.0126704963679594,5.0420177983193275,,,0.4630201334639951,0.4630201334639951,7.952560442625659,2.6829273976269126
exp,effectiveness,z_A0,8073.668341708542,sensitivity_z,617.7413744727451,36.01984443484734,2.2010280047991713,1.0122173727952026,1.0122173727952026,5.0420177983193275,,,0.4633262373806373,0.4633262373806373,7.961574278639525,2.7149734710689635
exp,effectiveness,z_A0,8220.462311557789,sensitivity_z,617.9961438648419,36.058433613818174,2.1766609920416826,1.0117672014255146,1.0117672014255146,5.0420177983193275,,,0.4636323412972794,0.4636323412972794,7.970539504548009,2.7476075458585747
exp,effectiveness,z_A0,8367.256281407035,sensitivity_z,618.2492509848993,36.0967806003579,2.151705977936632,1.0113199440392229,1.0113199440392229,5.0420177983193275,,,0.46393844521392164,0.46393844521392164,7.979456695633772,2.780829621995747
exp,effectiveness,z_A0,8514.050251256282,sensitivity_z,618.5007172111199,36.13488824228002,2.1261629624840226,1.0108755631540804,1.0108755631540804,5.0420177983193275,,,0.4642445491305638,0.4642445491305638,7.988326416713044,2.814639699480479
exp,effectiveness,z_A0,8660.844221105528,sensitivity_z,618.7505635124205,36.17275933591735,2.1000319456838508,1.0104340220064165,1.0104340220064165,5.0420177983193275,,,0.4645506530472059,0.4645506530472059,7.997149222391724,2.8490377783127725
exp,effectiveness,z_A0,8807.638190954773,sensitivity_z,618.99881045881,36.21039662737382,2.073312927536119,1.0099952845328852,1.0099952845328852,5.0420177983193275,,,0.46485675696384804,0.46485675696384804,8.005925657313655,2.884023858492626
exp,effectiveness,z_A0,8954.432160804019,sensitivity_z,619.2454782314412,36.24780281373823,2.0460059080408266,1.0095593153527898,1.0095593153527898,5.0420177983193275,,,0.4651628608804902,0.4651628608804902,8.014656256401343,2.91959794002004
exp,effectiveness,z_A0,9101.226130653265,sensitivity_z,619.4905866323487,36.28498054426111,2.0181108871979747,1.009126079750961,1.009126079750961,5.0420177983193275,,,0.4654689647971324,0.4654689647971324,8.023341545089371,2.9557600228950145
exp,effectiveness,z_A0,9248.020100502512,sensitivity_z,619.734155093882,36.32193242149607,1.9896278650075616,1.00869554366117,1.00869554366117,5.0420177983193275,,,0.46577506871377455,0.46577506871377455,8.03198203955077,2.99251010711755
exp,effectiveness,z_A0,9394.814070351758,sensitivity_z,619.97620268785,36.358661002407295,1.9605568414695873,1.0082676736500533,1.0082676736500533,5.0420177983193275,,,0.46608117263041665,0.46608117263041665,8.040578246916674,3.029848192687646
exp,effectiveness,z_A0,9541.608040201005,sensitivity_z,620.2167481343809,36.395168799443866,1.9308978165840527,1.0078424369015335,1.0078424369015335,5.0420177983193275,,,0.4663872765470589,0.4663872765470589,8.04913066548938,3.0677742796053034
exp,effectiveness,z_A0,9688.402010050251,sensitivity_z,620.4558098105143,36.431458281582394,1.9006507903509573,1.0074198012017164,1.0074198012017164,5.0420177983193275,,,0.466693380463701,0.466693380463701,8.057639784949158,3.1062883678705204
exp,effectiveness,z_A0,9835.195979899498,sensitivity_z,620.6934057585319,36.46753187533915,1.8698157627703011,1.0069997349242459,1.0069997349242459,5.0420177983193275,,,0.46699948438034317,0.46699948438034317,8.066106086554973,3.1453904574832983
exp,effectiveness,z_A0,9981.989949748744,sensitivity_z,620.9295536940364,36.50339196575258,1.8383927338420856,1.0065822070161037,1.0065822070161037,5.0420177983193275,,,0.4673055882969853,0.4673055882969853,8.074530043339355,3.1850805484436364
exp,effectiveness,z_A0,10128.783919597989,sensitivity_z,621.1642710137879,36.53904089733728,1.8063817035663092,1.0061671869838331,1.0061671869838331,5.0420177983193275,,,0.4676116922136275,0.4676116922136275,8.082912120297609,3.2253586407515344
exp,effectiveness,z_A0,10275.577889447235,sensitivity_z,621.3975748033081,36.57448097501055,1.7737826719429721,1.0057546448801755,1.0057546448801755,5.0420177983193275,,,0.4679177961302697,0.4679177961302697,8.091252774571576,3.266224734406994
exp,effectiveness,z_A0,10422.371859296481,sensitivity_z,621.6294818442577,36.609714464992244,1.7405956389720743,1.005344551291104,1.005344551291104,5.0420177983193275,,,0.4682239000469118,0.4682239000469118,8.099552455628105,3.3076788294100137
exp,effectiveness,z_A0,10569.165829145728,sensitivity_z,621.8600086215977,36.64474359567919,1.7068206046536156,1.004936877323237,1.004936877323237,5.0420177983193275,,,0.46853000396355393,0.46853000396355393,8.107811605432477,3.349720925760595
exp,effectiveness,z_A0,10715.959798994974,sensitivity_z,622.0891713305394,36.67957055849462,1.6724575689875976,1.0045315945916238,1.0045315945916238,5.0420177983193275,,,0.46883610788019614,0.46883610788019614,8.11603065861689,3.3923510234587355
exp,effectiveness,z_A0,10862.75376884422,sensitivity_z,622.316985883294,36.714197508713866,1.6375065319740179,1.004128675207885,1.004128675207885,5.0420177983193275,,,0.46914221179683824,0.46914221179683824,8.12421004264419,3.435569122504437
exp,effectiveness,z_A0,11009.547738693467,sensitivity_z,622.5434679156258,36.74862656626674,1.6019674936128774,1.0037280917686966,1.0037280917686966,5.0420177983193275,,,0.46944831571348045,0.46944831571348045,8.132350177967048,3.479375222897699
