decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
power,effectiveness,z_A0,12771.07537688442,sensitivity_z,660.8251302526796,53.86411297805367,65.36949711137119,0.8698231569399586,10.084034596638654,,,0.5203381681530366,0.5203381681530366,13.01768430600414,31.151643303393982
power,effectiveness,z_A0,12917.869346733667,sensitivity_z,661.2456591197109,54.148541963645116,65.43205895845705,0.869450648740002,10.084034596638654,,,0.5206442720696788,0.5206442720696788,13.054935125999801,31.20309342130553
power,effectiveness,z_A0,13064.663316582913,sensitivity_z,661.6618425303145,54.430956658694,65.49403280419537,0.8690801380446387,10.084034596638654,,,0.5209503759863209,0.5209503759863209,13.091986195536132,31.25513154056464
power,effectiveness,z_A0,13211.45728643216,sensitivity_z,662.0737488210657,54.7113785505322,65.55541864858614,0.8687116035456,10.084034596638654,,,0.5212564799029631,0.5212564799029631,13.128839645440005,31.307757661171312
power,effectiveness,z_A0,13358.251256281406,sensitivity_z,662.4814448671646,54.98982878449242,65.61621649162932,0.8683450242737663,10.084034596638654,,,0.5215625838196052,0.5215625838196052,13.165497572623375,31.360971783125546
power,effectiveness,z_A0,13505.045226130653,sensitivity_z,662.8849961219586,55.26632817112751,65.67642633332497,0.867980379592008,10.084034596638654,,,0.5218686877362474,0.5218686877362474,13.201962040799199,31.41477390642734
power,effectiveness,z_A0,13651.8391959799,sensitivity_z,663.284466655175,55.54089719324146,65.73604817367303,0.8676176491882133,10.084034596638654,,,0.5221747916528896,0.5221747916528896,13.238235081178672,31.46916403107669
power,effectiveness,z_A0,13798.633165829146,sensitivity_z,663.6799191899096,55.813556012734864,65.79508201267356,0.8672568130684992,10.084034596638654,,,0.5224808955695317,0.5224808955695317,13.274318693150079,31.5241421570736
power,effectiveness,z_A0,13945.427135678392,sensitivity_z,664.0714151384223,56.08432447727397,65.8535278503265,0.8668978515505987,10.084034596638654,,,0.5227869994861739,0.5227869994861739,13.310214844940127,31.579708284418075
power,effectiveness,z_A0,14092.221105527638,sensitivity_z,664.4590146367831,56.353222126786676,65.91138568663189,0.8665407452574185,10.084034596638654,,,0.523093103402816,0.523093103402816,13.345925474258147,31.63586241311011
