dataset,overlap_level,method,metric,n,mean,std,standard_error,ci95_low,ci95_high
amazon_employee,medium,APM,social_welfare,30,932.8514222862967,62.181418166911804,11.352721795893043,910.6000875663464,955.1027570062471
amazon_employee,medium,APM,quality_adjusted_welfare,30,20712.433236567587,5945.863113532673,1085.5611170399152,18584.733447169354,22840.13302596582
amazon_employee,medium,APM,welfare_per_time,30,1203.7410345458227,157.75516309909233,28.802020464093154,1147.2890744362,1260.1929946554453
amazon_employee,medium,APM,quality_per_time,30,28.51854206505678,8.176363308760404,1.4927928741885503,25.59266803164722,31.44441609846634
amazon_employee,medium,APM,runtime,30,0.001082022984822591,4.7897088927442855e-05,8.744772014797125e-06,0.0010648832316735887,0.0010991627379715934
amazon_employee,medium,BGM,U_SC,30,914.4889514143179,60.64815762671916,11.072788001094354,892.786286932173,936.1916158964627
amazon_employee,medium,BGM,U_TSP,30,18.66303984625118,1.2377175072525781,0.22597526618043368,18.22012832453753,19.10595136796483
amazon_employee,medium,BGM,U_DP,30,0.0383260746612413,0.2099205563258903,0.0383260746612413,-0.03679303167479164,0.11344518099727424
amazon_employee,medium,BGM,delivery_time,30,0.7808354823766953,0.04786899083454765,0.008739642028363265,0.7637057840011033,0.7979651807522873
amazon_employee,medium,BGM,pS,30,0.8901669371129806,0.1478782535252153,0.026998751740076092,0.8372493837024314,0.9430844905235297
amazon_employee,medium,BGM,avg_pT,30,2.11343287202244e-05,0.00011575748577796193,2.1134328720224402e-05,-2.028895557141543e-05,6.255761301186423e-05
amazon_employee,medium,BGM,avg_psr,30,0.5802805785354017,0.05652807417901706,0.010320567120057656,0.5600522669800887,0.6005088900907147
amazon_employee,medium,BGM,avg_risk_value,30,2.395379666327586e-05,0.00013120034770368162,2.3953796663275848e-05,-2.29956447967448e-05,7.090323812329652e-05
amazon_employee,medium,BGM,quality_q,30,21.916451762330475,4.786899083454766,0.8739642028363266,20.203481924771275,23.629421599889675
amazon_employee,medium,BGM,social_welfare,30,933.1903173352306,61.851267816603794,11.2924448644824,911.057125400845,955.3235092696161
amazon_employee,medium,BGM,quality_adjusted_welfare,30,20737.050732095096,5923.486650672071,1081.4757525512723,18617.358257094602,22856.74320709559
amazon_employee,medium,BGM,welfare_per_time,30,1204.42792903312,157.11912795075,28.68589686472207,1148.2035711782648,1260.6522868879754
amazon_employee,medium,BGM,quality_per_time,30,28.549978527759162,8.148562170527962,1.4877171040104742,25.634053003898632,31.46590405161969
amazon_employee,medium,BGM,runtime,30,0.0010959545771280924,4.002135797092783e-05,7.306866847555452e-06,0.0010816331181068837,0.001110276036149301
amazon_employee,medium,Our Model,U_SC,30,930.8833697503444,65.11791107938335,11.888849598597947,907.5812245370925,954.1855149635963
amazon_employee,medium,Our Model,U_TSP,30,2.5055382063667326,13.723352701444698,2.5055299463935734,-2.4053004885646714,7.416376901298136
amazon_employee,medium,Our Model,U_DP,30,1.0351800611803612,5.669914705880617,1.0351800611803612,-0.9937728587331467,3.064132981093869
amazon_employee,medium,Our Model,delivery_time,30,0.7801389272632147,0.047437289102034624,0.008660824436026116,0.7631637113686035,0.7971141431578258
amazon_employee,medium,Our Model,pS,30,0.1749637401212189,0.9499979456477747,0.17344510147161765,-0.16498865876315166,0.5149161390055894
amazon_employee,medium,Our Model,avg_pT,30,0.00010051867163823666,0.0005505634390671699,0.00010051867163823666,-9.649792477270719e-05,0.00029753526804918054
amazon_employee,medium,Our Model,avg_psr,30,0.5808277932788037,0.056258532694543624,0.010271355802981146,0.5606959359049607,0.6009596506526468
amazon_employee,medium,Our Model,avg_risk_value,30,2.4947901424864664e-05,0.00013664528372813652,2.4947901424864664e-05,-2.3949985367870077e-05,7.384578821759941e-05
amazon_employee,medium,Our Model,quality_q,30,21.98610727367854,4.743728910203463,0.8660824436026117,20.288585684217423,23.68362886313966
amazon_employee,medium,Our Model,social_welfare,30,934.4240880178914,61.113117832631694,11.157677732134536,912.5550396629078,956.2931363728751
amazon_employee,medium,Our Model,quality_adjusted_welfare,30,20823.179252893467,5868.973345252326,1071.5230301970848,18722.99411370718,22923.364392079755
amazon_employee,medium,Our Model,welfare_per_time,30,1206.9092383016168,155.56072050252445,28.401371893663008,1151.2425493900373,1262.5759272131963
amazon_employee,medium,Our Model,quality_per_time,30,28.65641527906477,8.08100675734894,1.4753832294505635,25.764664149341666,31.548166408787875
amazon_employee,medium,Our Model,runtime,30,0.0002666393915812174,3.732011661846058e-05,6.81368990688476e-06,0.0002532845593637233,0.00027999422379871154
amazon_employee,medium,SRC,U_SC,30,914.6325713742567,60.52214577996894,11.04978149076836,892.9749996523507,936.2901430961628
amazon_employee,medium,SRC,U_TSP,30,18.665970865851424,1.2351458369030213,0.2255057455601272,18.223979604553573,19.107962127149275
amazon_employee,medium,SRC,U_DP,30,0.03988393057417152,0.21845328457443716,0.03988393057417153,-0.038288573351204676,0.11805643449954772
amazon_employee,medium,SRC,delivery_time,30,0.7807369092033597,0.04778963744078051,0.008725154147102981,0.7636356070750379,0.7978382113316815
amazon_employee,medium,SRC,pS,30,0.8900460547390333,0.14754892250310547,0.026938624396844163,0.8372463509212188,0.9428457585568478
amazon_employee,medium,SRC,avg_pT,30,2.1484469263593244e-05,0.00011767528451696424,2.1484469263593244e-05,-2.0625090493049513e-05,6.3594029020236e-05
amazon_employee,medium,SRC,avg_psr,30,0.5805179617244693,0.05639174422092261,0.010295676788953633,0.5603384352181202,0.6006974882308185
amazon_employee,medium,SRC,avg_risk_value,30,2.4927456608857214e-05,0.00013653330285902325,2.4927456608857207e-05,-2.3930358344502908e-05,7.378527156221733e-05
amazon_employee,medium,SRC,quality_q,30,21.926309079664026,4.778963744078052,0.8725154147102981,20.216178866831843,23.63643929249621
amazon_employee,medium,SRC,social_welfare,30,933.3384261706826,61.72405821255679,11.269219674593119,911.2507556084801,955.4260967328852
amazon_employee,medium,SRC,quality_adjusted_welfare,30,20748.440022086368,5914.148284025982,1079.7708078638336,18632.089238673256,22864.79080549948
amazon_employee,medium,SRC,welfare_per_time,30,1204.7389169196501,156.86012836188385,28.63861022565322,1148.6072408773698,1260.8705929619305
amazon_employee,medium,SRC,quality_per_time,30,28.564710023777586,8.136755433619252,1.4855614986319978,25.65300948645887,31.4764105610963
amazon_employee,medium,SRC,runtime,30,0.0012717008590698241,2.644837394970866e-05,4.828790340529146e-06,0.001262236430002387,0.0012811652881372614
