mechanism,varied_parameter,varied_value,feasible,USC,UTSP,UDP,delivery_time,time_ratio,quality_q,risk_cost,pS,avg_pT,avg_psr,pT,z,baseline_rule,decay_type,delivery_time_type,solver,risk_cap
BGM,lambda,0.42000000000000004,True,422.47020318768654,8.621840884828266,4.413952039776291,0.9648127793503763,0.9648127793503763,3.518722064962365,22.06976019888148,8.525414545941222,0.00030228593457145685,0.4967382744502666,1.7125812e-05;0;2.8802614e-06;0.00014071642;0.00012310899;0.00088107385;0.00070866883;0.00053279208;0;0.00027819325;0.00064058578,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00019072708846203318
APM,lambda,0.42000000000000004,True,600.9816299373624,12.264931230433703,6.012239049024629,0.9262731373542774,0.9262731373542774,7.372686264572259,24.05790722584921,4.952170828938836,0.000357101712729929,0.4930929616963283,2.1853299e-05;0;5.389602e-05;0;0;0.0014557354;0.0011545716;0.00055499175;0;0;0.00068707083,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.00019072708846203318
Proposed,lambda,0.43000000000000005,True,662.8741418877478,59.50708133424412,45.91973525273407,0.875045947166565,0.875045947166565,12.495405283343498,26.74752301868519,9.429917548048559,0.0006698466946301449,0.5271088957014592,0.00098045469;0;0.00050683171;0;0;0.004300429;0;0.001363694;0;0.00021690427;0,22731.107;0;8;0;0;26568.777;0;2;0;109.32571;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.43000000000000005,True,583.8829962519875,11.915979522133917,5.2407305535933695,0.930713658159494,0.930713658159494,6.928634184050598,26.20365276796686,5.377862186050432,0.0003686807730710456,0.5076044101260124,1.8449598e-05;0;5.2972088e-05;0.00014406681;6.8755069e-05;0.0013145291;0.00097996828;0.0005454776;0;0.00034779355;0.00058347645,3578.47;0;9;2;2809.0475;13535.638;15951.95;2;0;292.1625;168.315,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00019072708846203318
BGM,lambda,0.43000000000000005,True,421.9758405592316,8.611751851594494,4.519046135961435,0.9648127793503763,0.9648127793503763,3.518722064962365,22.595230679807226,8.665909481127366,0.0003094832187279201,0.4967382744502666,1.7533569e-05;0;2.948839e-06;0.00014406681;0.00012604016;0.0009020518;0.0007255419;0.0005454776;0;0.0002848169;0.00065583783,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00019072708846203318
APM,lambda,0.43000000000000005,True,600.4203205402314,12.253475936614702,6.155387597810925,0.9262731373542774,0.9262731373542774,7.372686264572259,24.63071454075038,5.028304462866569,0.000365604134461594,0.4930929616963283,2.2373616e-05;0;5.5179259e-05;0;0;0.0014903957;0.0011820614;0.00056820584;0;0;0.00070342966,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.00019072708846203318
Proposed,lambda,0.44,True,660.1338944098088,60.8953798210792,46.98763607257481,0.875045947166565,0.875045947166565,12.495405283343498,27.369558437724386,9.64921795614271,0.0006854245247379495,0.5271088957014592,0.001003256;0;0.00051861849;0;0;0.0044004389;0;0.0013954078;0;0.00022194856;0,22731.107;0;8;0;0;26568.777;0;2;0;109.32571;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.44,True,583.3096847049153,11.90427928647938,5.3626080083281025,0.930713658159494,0.930713658159494,6.928634184050598,26.813040041640505,5.460607433070676,0.00037725474453781404,0.5076044101260124,1.8878658e-05;0;5.4203997e-05;0.0001474172;7.0354025e-05;0.0013450995;0.0010027582;0.00055816313;0;0.00035588177;0.00059704567,3578.47;0;9;2;2809.0475;13535.638;15951.95;2;0;292.1625;168.315,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00019072708846203326
BGM,lambda,0.44,True,421.48147793077663,8.601662818360722,4.624140232146594,0.9648127793503763,0.9648127793503763,3.518722064962365,23.12070116073297,8.806404416313512,0.0003166805028843833,0.4967382744502666,1.7941327e-05;0;3.0174167e-06;0.0001474172;0.00012897132;0.00092302975;0.00074241497;0.00055816313;0;0.00029144055;0.00067108987,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00019072708846203326
APM,lambda,0.44,True,599.8590111431005,12.242020642795701,6.298536146597225,0.9262731373542774,0.9262731373542774,7.372686264572259,25.203521855651548,5.104438096794303,0.0003741065561932589,0.4930929616963283,2.2893932e-05;0;5.6462497e-05;0;0;0.0015250561;0.0012095512;0.00058141993;0;0;0.00071978849,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.00019072708846203326
Proposed,lambda,0.45,True,657.576834395092,55.96755444312363,45.43001924604711,0.8791860260941513,0.8791860260941513,12.081397390584868,26.598993130658233,9.417827612653317,0.0006815043221401287,0.5241726321152164,0.00099151111;0;0.00045968457;0;0;0.0043964813;0;0.0014271216;0;0.00022174894;0,21965.777;0;7;0;0;25954.995;0;2;0;106.80011;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.45,True,559.7875561607507,11.424235846171385,5.0657235251700286,0.9371568508236641,0.9371568508236641,6.284314917633593,25.328617625850168,5.717323660240289,0.0003644405976206957,0.5045606206676656,1.7680397e-05;0;4.4519263e-05;0.0001507676;6.534777e-05;0.0013101618;0.00094190393;0.00057084865;0;0.00034663809;0.00056097904,3408.0667;0;8;2;2675.2833;12891.083;15192.333;2;0;278.25;160.3,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00018123828681539147
BGM,lambda,0.45,True,420.9871153023217,8.591573785126947,4.729234328331739,0.9648127793503763,0.9648127793503763,3.518722064962365,23.646171641658725,8.946899351499656,0.0003238777870408466,0.4967382744502666,1.8349084e-05;0;3.0859943e-06;0.0001507676;0.00013190249;0.0009440077;0.00075928804;0.00057084865;0;0.0002980642;0.00068634191,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00018123828681539147
