decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
linear,effectiveness,pT_A2,0.00038795986622073577,sensitivity_pT,666.7008008773469,60.009557297490005,42.96662707153935,0.8744929143421223,9.181222726159957,0.00038795986622073577,0.00038795986622073577,0.527824204650437,0.527824204650437,12.550708565787772,25.822797698624555
linear,effectiveness,pT_A2,0.00039464882943143813,sensitivity_pT,666.7008008773469,59.93345360224569,43.06175669059475,0.8744929143421223,9.181222726159957,0.00039464882943143813,0.00039464882943143813,0.527824204650437,0.527824204650437,12.550708565787772,25.822797698624555
linear,effectiveness,pT_A2,0.0004013377926421405,sensitivity_pT,666.7008008773469,59.85734990700139,43.15688630965012,0.8744929143421223,9.181222726159957,0.0004013377926421405,0.0004013377926421405,0.527824204650437,0.527824204650437,12.550708565787772,25.822797698624555
linear,effectiveness,pT_A2,0.0004080267558528428,sensitivity_pT,666.7008008773469,59.78124621175707,43.25201592870552,0.8744929143421223,9.181222726159957,0.0004080267558528428,0.0004080267558528428,0.527824204650437,0.527824204650437,12.550708565787772,25.822797698624555
linear,effectiveness,pT_A2,0.00041471571906354516,sensitivity_pT,668.2256798940277,60.71370464671341,43.348617682848776,0.873307303735201,9.181222726159957,0.00041471571906354516,0.00041471571906354516,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.00042140468227424747,sensitivity_pT,668.2256798940277,60.63631105832937,43.44535966832883,0.873307303735201,9.181222726159957,0.00042140468227424747,0.00042140468227424747,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.00042809364548494983,sensitivity_pT,668.2256798940277,60.55891746994533,43.54210165380888,0.873307303735201,9.181222726159957,0.00042809364548494983,0.00042809364548494983,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.0004347826086956522,sensitivity_pT,668.2256798940277,60.48152388156128,43.63884363928894,0.873307303735201,9.181222726159957,0.0004347826086956522,0.0004347826086956522,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.0004414715719063545,sensitivity_pT,668.2256798940277,60.40413029317724,43.735585624768994,0.873307303735201,9.181222726159957,0.0004414715719063545,0.0004414715719063545,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.00044816053511705686,sensitivity_pT,668.2256798940277,60.3267367047932,43.832327610249045,0.873307303735201,9.181222726159957,0.00044816053511705686,0.00044816053511705686,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.00045484949832775917,sensitivity_pT,668.2256798940277,60.24934311640916,43.929069595729096,0.873307303735201,9.181222726159957,0.00045484949832775917,0.00045484949832775917,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.00046153846153846153,sensitivity_pT,668.2256798940277,60.171949528025095,44.025811581209176,0.873307303735201,9.181222726159957,0.00046153846153846153,0.00046153846153846153,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.0004682274247491639,sensitivity_pT,668.2256798940277,60.09455593964104,44.12255356668924,0.873307303735201,9.181222726159957,0.0004682274247491639,0.0004682274247491639,0.5285633029505109,0.5285633029505109,12.669269626479895,25.921292281866066
linear,effectiveness,pT_A2,0.0004749163879598662,sensitivity_pT,669.7033376019294,60.996122294604845,44.2201259722728,0.8721412908976967,9.181222726159957,0.0004749163879598662,0.0004749163879598662,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.00048160535117056856,sensitivity_pT,669.7033376019294,60.91743881308108,44.3184803241775,0.8721412908976967,9.181222726159957,0.00048160535117056856,0.00048160535117056856,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.0004882943143812709,sensitivity_pT,669.7033376019294,60.838755331557294,44.41683467608223,0.8721412908976967,9.181222726159957,0.0004882943143812709,0.0004882943143812709,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.0004949832775919732,sensitivity_pT,669.7033376019294,60.76007185003351,44.51518902798696,0.8721412908976967,9.181222726159957,0.0004949832775919732,0.0004949832775919732,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.0005016722408026755,sensitivity_pT,669.7033376019294,60.681388368509744,44.61354337989167,0.8721412908976967,9.181222726159957,0.0005016722408026755,0.0005016722408026755,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.000508361204013378,sensitivity_pT,669.7033376019294,60.60270488698596,44.7118977317964,0.8721412908976967,9.181222726159957,0.000508361204013378,0.000508361204013378,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.0005150501672240803,sensitivity_pT,669.7033376019294,60.524021405462165,44.810252083701144,0.8721412908976967,9.181222726159957,0.0005150501672240803,0.0005150501672240803,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.0005217391304347826,sensitivity_pT,669.7033376019294,60.4453379239384,44.90860643560585,0.8721412908976967,9.181222726159957,0.0005217391304347826,0.0005217391304347826,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.000528428093645485,sensitivity_pT,669.7033376019294,60.366654442414614,45.00696078751058,0.8721412908976967,9.181222726159957,0.000528428093645485,0.000528428093645485,0.5293024012505849,0.5293024012505849,12.785870910230335,26.03493987791396
linear,effectiveness,pT_A2,0.0005343342065188141,sensitivity_pT,671.1360237948747,61.24727367366466,45.09380412714845,0.870994238460941,9.181222726159957,0.0005343342065188141,0.0005343342065188141,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005351170568561873,sensitivity_pT,671.1360237948747,61.23791389975588,45.10550384453442,0.870994238460941,9.181222726159957,0.0005351170568561873,0.0005351170568561873,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005418060200668896,sensitivity_pT,671.1360237948747,61.157940525092364,45.205470562863816,0.870994238460941,9.181222726159957,0.0005418060200668896,0.0005418060200668896,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.000548494983277592,sensitivity_pT,671.1360237948747,61.07796715042886,45.3054372811932,0.870994238460941,9.181222726159957,0.000548494983277592,0.000548494983277592,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005551839464882943,sensitivity_pT,671.1360237948747,60.99799377576535,45.40540399952258,0.870994238460941,9.181222726159957,0.0005551839464882943,0.0005551839464882943,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005618729096989966,sensitivity_pT,671.1360237948747,60.91802040110184,45.50537071785197,0.870994238460941,9.181222726159957,0.0005618729096989966,0.0005618729096989966,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.000568561872909699,sensitivity_pT,671.1360237948747,60.83804702643832,45.60533743618138,0.870994238460941,9.181222726159957,0.000568561872909699,0.000568561872909699,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005752508361204013,sensitivity_pT,671.1360237948747,60.75807365177481,45.70530415451076,0.870994238460941,9.181222726159957,0.0005752508361204013,0.0005752508361204013,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005819397993311037,sensitivity_pT,671.1360237948747,60.6781002771113,45.80527087284015,0.870994238460941,9.181222726159957,0.0005819397993311037,0.0005819397993311037,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0005886287625418061,sensitivity_pT,671.1360237948747,60.59812690244778,45.905237591169545,0.870994238460941,9.181222726159957,0.0005886287625418061,0.0005886287625418061,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
